,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
52,52,0.08154665587918015,2022-12-01 20:43:43.145967,2022-12-01 20:43:53.012041,0 days 00:00:09.866074,"{0: 1, 1: 10}",28.0,0.8,410,COMPLETE
53,53,0.2563358504135203,2022-12-01 20:43:53.215221,2022-12-01 20:44:06.316371,0 days 00:00:13.101150,"{0: 1, 1: 100}",3.0,,910,COMPLETE
54,54,0.10450599970484357,2022-12-01 20:44:06.517528,2022-12-01 20:44:14.206446,0 days 00:00:07.688918,"{0: 1, 1: 100}",,log2,310,COMPLETE
55,55,0.15234682994998527,2022-12-01 20:44:14.411901,2022-12-01 20:44:24.208352,0 days 00:00:09.796451,"{0: 1, 1: 100}",19.0,0.6,660,COMPLETE
56,56,0.014563106796116504,2022-12-01 20:44:24.409224,2022-12-01 20:44:35.866705,0 days 00:00:11.457481,,6.0,,460,COMPLETE
57,57,0.15848904101046452,2022-12-01 20:44:36.076876,2022-12-01 20:44:45.684488,0 days 00:00:09.607612,"{0: 1, 1: 10}",23.0,log2,660,COMPLETE
58,58,0.13158036677454155,2022-12-01 20:44:45.888236,2022-12-01 20:44:52.723036,0 days 00:00:06.834800,balanced,,0.8,10,COMPLETE
59,59,0.07251752966558793,2022-12-01 20:44:52.925785,2022-12-01 20:45:01.703969,0 days 00:00:08.778184,"{0: 1, 1: 10}",24.0,1.0,260,COMPLETE
60,60,0.03074433656957929,2022-12-01 20:45:01.908370,2022-12-01 20:45:08.679201,0 days 00:00:06.770831,"{0: 1, 1: 10}",21.0,0.7,10,COMPLETE
61,61,0.24201766859533844,2022-12-01 20:45:08.885752,2022-12-01 20:45:15.967460,0 days 00:00:07.081708,balanced,4.0,0.6,110,COMPLETE
62,62,0.17607848305057042,2022-12-01 20:45:16.177428,2022-12-01 20:45:28.159981,0 days 00:00:11.982553,balanced,36.0,0.7,910,COMPLETE
63,63,0.17389929110802899,2022-12-01 20:45:28.365356,2022-12-01 20:45:38.297295,0 days 00:00:09.931939,balanced,9.0,0.8,560,COMPLETE
64,64,0.22698399856166848,2022-12-01 20:45:38.505617,2022-12-01 20:45:47.630154,0 days 00:00:09.124537,balanced,5.0,0.7,510,COMPLETE
65,65,0.12088742099231417,2022-12-01 20:45:47.839637,2022-12-01 20:45:57.792495,0 days 00:00:09.952858,"{0: 1, 1: 100}",31.0,sqrt,910,COMPLETE
66,66,0.11674111958699337,2022-12-01 20:45:57.995766,2022-12-01 20:46:08.335731,0 days 00:00:10.339965,"{0: 1, 1: 10}",21.0,0.8,460,COMPLETE
67,67,0.0976326601554114,2022-12-01 20:46:08.542527,2022-12-01 20:46:16.896895,0 days 00:00:08.354368,,19.0,sqrt,460,COMPLETE
68,68,0.291860674048174,2022-12-01 20:46:17.098367,2022-12-01 20:46:24.731399,0 days 00:00:07.633032,balanced,14.0,log2,310,COMPLETE
69,69,0.03609223300970873,2022-12-01 20:46:24.930820,2022-12-01 20:46:37.967737,0 days 00:00:13.036917,,29.0,0.8,710,COMPLETE
70,70,0.1612365255935878,2022-12-01 20:46:38.172559,2022-12-01 20:46:47.698574,0 days 00:00:09.526015,balanced,19.0,sqrt,860,COMPLETE
71,71,0.2268060283836983,2022-12-01 20:46:47.906757,2022-12-01 20:46:57.099003,0 days 00:00:09.192246,"{0: 1, 1: 100}",5.0,0.7,510,COMPLETE
72,72,0.02407766990291262,2022-12-01 20:46:57.294220,2022-12-01 20:47:09.281089,0 days 00:00:11.986869,,33.0,,510,COMPLETE
73,73,0.14618623824934504,2022-12-01 20:47:09.484813,2022-12-01 20:47:17.704301,0 days 00:00:08.219488,"{0: 1, 1: 10}",5.0,,210,COMPLETE
74,74,0.17807192941901678,2022-12-01 20:47:17.909932,2022-12-01 20:47:31.553134,0 days 00:00:13.643202,"{0: 1, 1: 100}",31.0,,960,COMPLETE
75,75,0.2967956349206349,2022-12-01 20:47:31.759693,2022-12-01 20:47:42.201388,0 days 00:00:10.441695,balanced,3.0,sqrt,910,COMPLETE
76,76,0.08408171521035598,2022-12-01 20:47:42.409837,2022-12-01 20:47:57.091121,0 days 00:00:14.681284,"{0: 1, 1: 10}",37.0,1.0,760,COMPLETE
77,77,0.17515722119484253,2022-12-01 20:47:57.294482,2022-12-01 20:48:05.624060,0 days 00:00:08.329578,balanced,31.0,0.6,410,COMPLETE
78,78,0.014563106796116504,2022-12-01 20:48:05.829647,2022-12-01 20:48:12.797802,0 days 00:00:06.968155,,27.0,,60,COMPLETE
79,79,0.16951167360147942,2022-12-01 20:48:13.000476,2022-12-01 20:48:20.277376,0 days 00:00:07.276900,balanced,38.0,0.7,210,COMPLETE
80,80,0.16227091768353905,2022-12-01 20:48:20.473494,2022-12-01 20:48:32.829857,0 days 00:00:12.356363,"{0: 1, 1: 100}",22.0,0.9,860,COMPLETE
81,81,0.031334951456310677,2022-12-01 20:48:33.038302,2022-12-01 20:48:43.808037,0 days 00:00:10.769735,,33.0,0.9,460,COMPLETE
82,82,0.024077669902912623,2022-12-01 20:48:44.012751,2022-12-01 20:48:51.209413,0 days 00:00:07.196662,,7.0,1.0,110,COMPLETE
83,83,0.16886089279293162,2022-12-01 20:48:51.409623,2022-12-01 20:48:59.137171,0 days 00:00:07.727548,"{0: 1, 1: 100}",19.0,0.9,260,COMPLETE
84,84,0.11253086071649401,2022-12-01 20:48:59.342100,2022-12-01 20:49:08.620459,0 days 00:00:09.278359,"{0: 1, 1: 10}",22.0,sqrt,810,COMPLETE
85,85,0.18616915806236195,2022-12-01 20:49:08.820183,2022-12-01 20:49:21.371852,0 days 00:00:12.551669,balanced,25.0,,810,COMPLETE
86,86,0.28162788600288596,2022-12-01 20:49:21.577504,2022-12-01 20:49:32.904826,0 days 00:00:11.327322,"{0: 1, 1: 10}",10.0,log2,960,COMPLETE
87,87,0.08009850278589568,2022-12-01 20:49:33.112774,2022-12-01 20:49:40.235462,0 days 00:00:07.122688,"{0: 1, 1: 10}",14.0,sqrt,160,COMPLETE
88,88,0.18849720039040424,2022-12-01 20:49:40.436691,2022-12-01 20:49:48.743126,0 days 00:00:08.306435,"{0: 1, 1: 100}",6.0,,310,COMPLETE
89,89,0.025977808599167825,2022-12-01 20:49:48.949013,2022-12-01 20:49:59.432367,0 days 00:00:10.483354,,11.0,0.6,560,COMPLETE
90,90,0.167399284686906,2022-12-01 20:49:59.635734,2022-12-01 20:50:11.402897,0 days 00:00:11.767163,"{0: 1, 1: 100}",38.0,0.9,760,COMPLETE
91,91,0.2058509546009546,2022-12-01 20:50:11.605653,2022-12-01 20:50:21.202910,0 days 00:00:09.597257,,7.0,log2,660,COMPLETE
92,92,0.1839939063543432,2022-12-01 20:50:21.405327,2022-12-01 20:50:33.385219,0 days 00:00:11.979892,balanced,8.0,0.8,860,COMPLETE
93,93,0.17556464144449582,2022-12-01 20:50:33.588304,2022-12-01 20:50:45.562829,0 days 00:00:11.974525,balanced,30.0,0.9,760,COMPLETE
94,94,0.1655328247803976,2022-12-01 20:50:45.765702,2022-12-01 20:50:52.962191,0 days 00:00:07.196489,balanced,22.0,0.9,160,COMPLETE
95,95,0.15230002512769505,2022-12-01 20:50:53.156975,2022-12-01 20:51:02.741810,0 days 00:00:09.584835,,3.0,0.7,410,COMPLETE
96,96,0.09852608767985949,2022-12-01 20:51:02.950449,2022-12-01 20:51:11.178325,0 days 00:00:08.227876,,21.0,sqrt,460,COMPLETE
97,97,0.055016181229773455,2022-12-01 20:51:11.380834,2022-12-01 20:51:18.360370,0 days 00:00:06.979536,balanced,24.0,sqrt,10,COMPLETE
98,98,0.12008480785269049,2022-12-01 20:51:18.566385,2022-12-01 20:51:26.027839,0 days 00:00:07.461454,balanced,23.0,sqrt,310,COMPLETE
99,99,0.16644028997791133,2022-12-01 20:51:26.239295,2022-12-01 20:51:36.074933,0 days 00:00:09.835638,"{0: 1, 1: 100}",9.0,0.7,610,COMPLETE
100,100,0.17854811989520727,2022-12-01 20:51:36.278416,2022-12-01 20:51:48.755622,0 days 00:00:12.477206,"{0: 1, 1: 100}",24.0,1.0,810,COMPLETE
101,101,0.15618936504346134,2022-12-01 20:51:48.962880,2022-12-01 20:51:57.849664,0 days 00:00:08.886784,balanced,20.0,sqrt,610,COMPLETE
102,102,0.213279349832823,2022-12-01 20:51:58.051695,2022-12-01 20:52:05.261516,0 days 00:00:07.209821,"{0: 1, 1: 100}",9.0,sqrt,160,COMPLETE
103,103,0.10654338110648791,2022-12-01 20:52:05.471011,2022-12-01 20:52:17.742132,0 days 00:00:12.271121,"{0: 1, 1: 10}",24.0,1.0,560,COMPLETE
104,104,0.20485371745175668,2022-12-01 20:52:17.940702,2022-12-01 20:52:28.047197,0 days 00:00:10.106495,"{0: 1, 1: 100}",11.0,sqrt,960,COMPLETE
105,105,0.014563106796116504,2022-12-01 20:52:28.256372,2022-12-01 20:52:35.249573,0 days 00:00:06.993201,"{0: 1, 1: 10}",,,10,COMPLETE
106,106,0.16897655181028964,2022-12-01 20:52:35.460150,2022-12-01 20:52:47.949128,0 days 00:00:12.488978,balanced,25.0,0.8,910,COMPLETE
107,107,0.18254151255971643,2022-12-01 20:52:48.156040,2022-12-01 20:53:00.668383,0 days 00:00:12.512343,"{0: 1, 1: 100}",11.0,,810,COMPLETE
108,108,0.18735820409364096,2022-12-01 20:53:00.873592,2022-12-01 20:53:14.314958,0 days 00:00:13.441366,balanced,12.0,,910,COMPLETE
109,109,0.1615111523440896,2022-12-01 20:53:14.516777,2022-12-01 20:53:28.131441,0 days 00:00:13.614664,,2.0,0.7,960,COMPLETE
110,110,0.2155534735921683,2022-12-01 20:53:28.337448,2022-12-01 20:53:35.595525,0 days 00:00:07.258077,"{0: 1, 1: 10}",7.0,sqrt,210,COMPLETE
111,111,0.28810611718378704,2022-12-01 20:53:35.802472,2022-12-01 20:53:46.459490,0 days 00:00:10.657018,"{0: 1, 1: 100}",3.0,0.7,760,COMPLETE
112,112,0.09497591203295087,2022-12-01 20:53:46.664300,2022-12-01 20:53:53.671776,0 days 00:00:07.007476,"{0: 1, 1: 100}",32.0,sqrt,110,COMPLETE
113,113,0.17638963023671755,2022-12-01 20:53:53.876749,2022-12-01 20:54:06.974291,0 days 00:00:13.097542,"{0: 1, 1: 10}",5.0,0.6,910,COMPLETE
114,114,0.16888404094107978,2022-12-01 20:54:07.183296,2022-12-01 20:54:15.016286,0 days 00:00:07.832990,"{0: 1, 1: 100}",16.0,0.7,310,COMPLETE
115,115,0.14602830995298632,2022-12-01 20:54:15.213230,2022-12-01 20:54:26.162777,0 days 00:00:10.949547,"{0: 1, 1: 100}",30.0,log2,960,COMPLETE
116,116,0.02529328478964401,2022-12-01 20:54:26.368966,2022-12-01 20:54:38.063915,0 days 00:00:11.694949,,35.0,0.6,710,COMPLETE
117,117,0.17670416602455438,2022-12-01 20:54:38.271399,2022-12-01 20:54:46.085728,0 days 00:00:07.814329,"{0: 1, 1: 100}",29.0,0.7,310,COMPLETE
118,118,0.03192556634304207,2022-12-01 20:54:46.289967,2022-12-01 20:54:55.038337,0 days 00:00:08.748370,,32.0,0.6,360,COMPLETE
119,119,0.17397794110779546,2022-12-01 20:54:55.242736,2022-12-01 20:55:06.685507,0 days 00:00:11.442771,balanced,25.0,0.7,860,COMPLETE
120,120,0.039233125288950524,2022-12-01 20:55:06.890034,2022-12-01 20:55:20.172785,0 days 00:00:13.282751,,38.0,0.7,810,COMPLETE
121,121,0.0992893743257821,2022-12-01 20:55:20.377283,2022-12-01 20:55:27.370724,0 days 00:00:06.993441,balanced,13.0,sqrt,10,COMPLETE
122,122,0.11562251490407509,2022-12-01 20:55:27.579778,2022-12-01 20:55:35.445097,0 days 00:00:07.865319,"{0: 1, 1: 10}",30.0,log2,310,COMPLETE
123,123,0.2144196081696082,2022-12-01 20:55:35.651660,2022-12-01 20:55:43.233382,0 days 00:00:07.581722,,4.0,log2,260,COMPLETE
124,124,0.11393492834026817,2022-12-01 20:55:43.439444,2022-12-01 20:55:56.490086,0 days 00:00:13.050642,"{0: 1, 1: 10}",30.0,0.9,660,COMPLETE
125,125,0.2001002804279503,2022-12-01 20:55:56.697389,2022-12-01 20:56:04.910295,0 days 00:00:08.212906,"{0: 1, 1: 100}",6.0,0.6,410,COMPLETE
126,126,0.1743291210766939,2022-12-01 20:56:05.114760,2022-12-01 20:56:12.184284,0 days 00:00:07.069524,"{0: 1, 1: 100}",34.0,,60,COMPLETE
127,127,0.0434249306518724,2022-12-01 20:56:12.383182,2022-12-01 20:56:24.111664,0 days 00:00:11.728482,,10.0,0.6,710,COMPLETE
128,128,0.014563106796116504,2022-12-01 20:56:24.314002,2022-12-01 20:56:32.481334,0 days 00:00:08.167332,,4.0,0.7,260,COMPLETE
129,129,0.2858777103655153,2022-12-01 20:56:32.694018,2022-12-01 20:56:39.840004,0 days 00:00:07.145986,balanced,7.0,sqrt,210,COMPLETE
130,130,0.149882983306959,2022-12-01 20:56:40.041319,2022-12-01 20:56:49.013943,0 days 00:00:08.972624,"{0: 1, 1: 10}",26.0,log2,560,COMPLETE
131,131,0.16091379000359582,2022-12-01 20:56:49.215532,2022-12-01 20:56:57.029402,0 days 00:00:07.813870,balanced,33.0,0.7,310,COMPLETE
132,132,0.014563106796116504,2022-12-01 20:56:57.231871,2022-12-01 20:57:04.385049,0 days 00:00:07.153178,,15.0,0.7,110,COMPLETE
133,133,0.23558248341015328,2022-12-01 20:57:04.592583,2022-12-01 20:57:18.094589,0 days 00:00:13.502006,"{0: 1, 1: 100}",3.0,1.0,960,COMPLETE
134,134,0.165931518140256,2022-12-01 20:57:18.309095,2022-12-01 20:57:28.887574,0 days 00:00:10.578479,balanced,33.0,0.6,760,COMPLETE
135,135,0.11121135183131688,2022-12-01 20:57:29.090141,2022-12-01 20:57:38.527069,0 days 00:00:09.436928,"{0: 1, 1: 10}",30.0,sqrt,810,COMPLETE
136,136,0.17904614218934606,2022-12-01 20:57:38.737797,2022-12-01 20:57:52.261524,0 days 00:00:13.523727,balanced,22.0,,910,COMPLETE
137,137,0.1760436094907844,2022-12-01 20:57:52.465310,2022-12-01 20:58:00.907283,0 days 00:00:08.441973,,7.0,sqrt,510,COMPLETE
138,138,0.028522114347357064,2022-12-01 20:58:01.115312,2022-12-01 20:58:08.707758,0 days 00:00:07.592446,"{0: 1, 1: 10}",17.0,,160,COMPLETE
139,139,0.12486746802280783,2022-12-01 20:58:08.913442,2022-12-01 20:58:21.752266,0 days 00:00:12.838824,"{0: 1, 1: 10}",8.0,0.9,660,COMPLETE
140,140,0.10428802588996763,2022-12-01 20:58:21.954122,2022-12-01 20:58:28.868360,0 days 00:00:06.914238,balanced,14.0,0.8,10,COMPLETE
141,141,0.1017669325011558,2022-12-01 20:58:29.077947,2022-12-01 20:58:42.195736,0 days 00:00:13.117789,"{0: 1, 1: 10}",29.0,0.7,810,COMPLETE
142,142,0.14782204325782555,2022-12-01 20:58:42.399809,2022-12-01 20:58:49.378377,0 days 00:00:06.978568,balanced,24.0,log2,110,COMPLETE
143,143,0.15629013201828737,2022-12-01 20:58:49.588277,2022-12-01 20:58:59.048167,0 days 00:00:09.459890,balanced,38.0,0.9,460,COMPLETE
144,144,0.03074433656957929,2022-12-01 20:58:59.254710,2022-12-01 20:59:06.880575,0 days 00:00:07.625865,,18.0,1.0,160,COMPLETE
145,145,0.1767358863718087,2022-12-01 20:59:07.089774,2022-12-01 20:59:14.150715,0 days 00:00:07.060941,balanced,,0.7,160,COMPLETE
146,146,0.03466828478964401,2022-12-01 20:59:14.351228,2022-12-01 20:59:26.231712,0 days 00:00:11.880484,,13.0,,510,COMPLETE
147,147,0.014563106796116504,2022-12-01 20:59:26.437952,2022-12-01 20:59:34.136409,0 days 00:00:07.698457,,22.0,,160,COMPLETE
148,148,0.14418520498163528,2022-12-01 20:59:34.341726,2022-12-01 20:59:43.790647,0 days 00:00:09.448921,balanced,33.0,sqrt,810,COMPLETE
149,149,0.14916869710853514,2022-12-01 20:59:44.000594,2022-12-01 20:59:54.809859,0 days 00:00:10.809265,"{0: 1, 1: 100}",,log2,910,COMPLETE
150,150,0.0684546925566343,2022-12-01 20:59:55.018896,2022-12-01 21:00:04.503105,0 days 00:00:09.484209,"{0: 1, 1: 10}",18.0,1.0,310,COMPLETE
151,151,0.16579076128833412,2022-12-01 21:00:04.703952,2022-12-01 21:00:11.786051,0 days 00:00:07.082099,"{0: 1, 1: 100}",29.0,0.6,110,COMPLETE
152,152,0.09655461807160838,2022-12-01 21:00:11.991861,2022-12-01 21:00:24.611822,0 days 00:00:12.619961,"{0: 1, 1: 10}",30.0,0.7,760,COMPLETE
153,153,0.16721541583192068,2022-12-01 21:00:24.824009,2022-12-01 21:00:36.529463,0 days 00:00:11.705454,"{0: 1, 1: 100}",22.0,0.8,810,COMPLETE
154,154,0.02633495145631068,2022-12-01 21:00:36.736966,2022-12-01 21:00:51.887168,0 days 00:00:15.150202,,39.0,0.8,910,COMPLETE
155,155,0.1126045524389441,2022-12-01 21:00:52.094863,2022-12-01 21:01:01.636229,0 days 00:00:09.541366,,11.0,sqrt,810,COMPLETE
156,156,0.29140061327561323,2022-12-01 21:01:01.847874,2022-12-01 21:01:09.037533,0 days 00:00:07.189659,balanced,6.0,sqrt,160,COMPLETE
157,157,0.1741004006780706,2022-12-01 21:01:09.242791,2022-12-01 21:01:22.519758,0 days 00:00:13.276967,,2.0,1.0,710,COMPLETE
158,158,0.10676972594191685,2022-12-01 21:01:22.726429,2022-12-01 21:01:32.021909,0 days 00:00:09.295480,"{0: 1, 1: 10}",28.0,sqrt,760,COMPLETE
