,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
120,120,0.7349000930622382,2022-12-01 00:59:18.693558,2022-12-01 00:59:41.229001,0 days 00:00:22.535443,,38.0,0.7,810,COMPLETE
121,121,0.6285356554247913,2022-12-01 00:59:41.433175,2022-12-01 00:59:48.555542,0 days 00:00:07.122367,balanced,13.0,sqrt,10,COMPLETE
122,122,0.5745285697048778,2022-12-01 00:59:48.762089,2022-12-01 00:59:56.117140,0 days 00:00:07.355051,"{0: 1, 1: 10}",30.0,log2,310,COMPLETE
123,123,0.6281124142511298,2022-12-01 00:59:56.334660,2022-12-01 01:00:03.978986,0 days 00:00:07.644326,,4.0,log2,260,COMPLETE
124,124,0.7610720195879448,2022-12-01 01:00:04.185250,2022-12-01 01:00:19.211802,0 days 00:00:15.026552,"{0: 1, 1: 10}",30.0,0.9,660,COMPLETE
125,125,0.5991622299209899,2022-12-01 01:00:19.414811,2022-12-01 01:00:28.389778,0 days 00:00:08.974967,"{0: 1, 1: 100}",6.0,0.6,410,COMPLETE
126,126,0.6365316203172676,2022-12-01 01:00:28.593416,2022-12-01 01:00:35.650010,0 days 00:00:07.056594,"{0: 1, 1: 100}",34.0,,60,COMPLETE
127,127,0.733715597538389,2022-12-01 01:00:35.853062,2022-12-01 01:00:54.524385,0 days 00:00:18.671323,,10.0,0.6,710,COMPLETE
128,128,0.7529208110201439,2022-12-01 01:00:54.724548,2022-12-01 01:01:04.647218,0 days 00:00:09.922670,,4.0,0.7,260,COMPLETE
129,129,0.6729480327281366,2022-12-01 01:01:04.854879,2022-12-01 01:01:11.789989,0 days 00:00:06.935110,balanced,7.0,sqrt,210,COMPLETE
130,130,0.5887799339155144,2022-12-01 01:01:11.994954,2022-12-01 01:01:20.091049,0 days 00:00:08.096095,"{0: 1, 1: 10}",26.0,log2,560,COMPLETE
131,131,0.6569653212570038,2022-12-01 01:01:20.293530,2022-12-01 01:01:28.995638,0 days 00:00:08.702108,balanced,33.0,0.7,310,COMPLETE
132,132,0.7425201028145559,2022-12-01 01:01:29.201365,2022-12-01 01:01:37.271383,0 days 00:00:08.070018,,15.0,0.7,110,COMPLETE
133,133,0.6209469663822376,2022-12-01 01:01:37.476398,2022-12-01 01:01:52.822208,0 days 00:00:15.345810,"{0: 1, 1: 100}",3.0,1.0,960,COMPLETE
134,134,0.6683809346645108,2022-12-01 01:01:53.028718,2022-12-01 01:02:05.593932,0 days 00:00:12.565214,balanced,33.0,0.6,760,COMPLETE
135,135,0.679506893170977,2022-12-01 01:02:05.796789,2022-12-01 01:02:15.028861,0 days 00:00:09.232072,"{0: 1, 1: 10}",30.0,sqrt,810,COMPLETE
136,136,0.6381061575800623,2022-12-01 01:02:15.232309,2022-12-01 01:02:31.826213,0 days 00:00:16.593904,balanced,22.0,,910,COMPLETE
137,137,0.6570387112891938,2022-12-01 01:02:32.030802,2022-12-01 01:02:40.078110,0 days 00:00:08.047308,,7.0,sqrt,510,COMPLETE
138,138,0.7521270840603063,2022-12-01 01:02:40.281563,2022-12-01 01:02:48.527902,0 days 00:00:08.246339,"{0: 1, 1: 10}",17.0,,160,COMPLETE
139,139,0.7587101668642209,2022-12-01 01:02:48.734415,2022-12-01 01:03:03.859306,0 days 00:00:15.124891,"{0: 1, 1: 10}",8.0,0.9,660,COMPLETE
140,140,0.6230061800004316,2022-12-01 01:03:04.064674,2022-12-01 01:03:10.834247,0 days 00:00:06.769573,balanced,14.0,0.8,10,COMPLETE
141,141,0.7416991319472845,2022-12-01 01:03:11.039069,2022-12-01 01:03:26.454411,0 days 00:00:15.415342,"{0: 1, 1: 10}",29.0,0.7,810,COMPLETE
142,142,0.6046609236005528,2022-12-01 01:03:26.661822,2022-12-01 01:03:34.361289,0 days 00:00:07.699467,balanced,24.0,log2,110,COMPLETE
143,143,0.6390354661255472,2022-12-01 01:03:34.566572,2022-12-01 01:03:45.351273,0 days 00:00:10.784701,balanced,38.0,0.9,460,COMPLETE
144,144,0.734625247142749,2022-12-01 01:03:45.556472,2022-12-01 01:03:55.660491,0 days 00:00:10.104019,,18.0,1.0,160,COMPLETE
145,145,0.6551183328118746,2022-12-01 01:03:55.866303,2022-12-01 01:04:03.278386,0 days 00:00:07.412083,balanced,,0.7,160,COMPLETE
146,146,0.7353733168540088,2022-12-01 01:04:03.481480,2022-12-01 01:04:23.247178,0 days 00:00:19.765698,,13.0,,510,COMPLETE
147,147,0.7329589620925991,2022-12-01 01:04:23.456257,2022-12-01 01:04:33.526116,0 days 00:00:10.069859,,22.0,,160,COMPLETE
148,148,0.7100152707202111,2022-12-01 01:04:33.749913,2022-12-01 01:04:42.839657,0 days 00:00:09.089744,balanced,33.0,sqrt,810,COMPLETE
149,149,0.6592646444448077,2022-12-01 01:04:43.039862,2022-12-01 01:04:52.810627,0 days 00:00:09.770765,"{0: 1, 1: 100}",,log2,910,COMPLETE
150,150,0.7501744555600978,2022-12-01 01:04:53.019983,2022-12-01 01:05:03.379998,0 days 00:00:10.360015,"{0: 1, 1: 10}",18.0,1.0,310,COMPLETE
151,151,0.6530467317437141,2022-12-01 01:05:03.584804,2022-12-01 01:05:10.602225,0 days 00:00:07.017421,"{0: 1, 1: 100}",29.0,0.6,110,COMPLETE
152,152,0.7477127025075936,2022-12-01 01:05:10.787330,2022-12-01 01:05:25.784481,0 days 00:00:14.997151,"{0: 1, 1: 10}",30.0,0.7,760,COMPLETE
153,153,0.6540104921309453,2022-12-01 01:05:25.989073,2022-12-01 01:05:39.807019,0 days 00:00:13.817946,"{0: 1, 1: 100}",22.0,0.8,810,COMPLETE
154,154,0.7346457957869532,2022-12-01 01:05:40.020066,2022-12-01 01:06:06.762390,0 days 00:00:26.742324,,39.0,0.8,910,COMPLETE
155,155,0.6427978605261072,2022-12-01 01:06:06.969824,2022-12-01 01:06:16.161739,0 days 00:00:09.191915,,11.0,sqrt,810,COMPLETE
156,156,0.6688307998277022,2022-12-01 01:06:16.366129,2022-12-01 01:06:23.363072,0 days 00:00:06.996943,balanced,6.0,sqrt,160,COMPLETE
157,157,0.7185773384041326,2022-12-01 01:06:23.571115,2022-12-01 01:06:38.261197,0 days 00:00:14.690082,,2.0,1.0,710,COMPLETE
158,158,0.6780869666025888,2022-12-01 01:06:38.461067,2022-12-01 01:06:47.425817,0 days 00:00:08.964750,"{0: 1, 1: 10}",28.0,sqrt,760,COMPLETE
159,159,0.7426747208479354,2022-12-01 01:06:47.631321,2022-12-01 01:07:00.599516,0 days 00:00:12.968195,,6.0,0.6,410,COMPLETE
