,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
115,115,0.6316486299267238,2022-11-29 19:14:23.111304,2022-11-29 19:14:32.677532,0 days 00:00:09.566228,"{0: 1, 1: 100}",30.0,log2,960,COMPLETE
116,116,0.6729241092414977,2022-11-29 19:14:32.847757,2022-11-29 19:14:56.471434,0 days 00:00:23.623677,,35.0,0.6,710,COMPLETE
117,117,0.6431279144442484,2022-11-29 19:14:56.641908,2022-11-29 19:15:06.699432,0 days 00:00:10.057524,"{0: 1, 1: 100}",29.0,0.7,310,COMPLETE
118,118,0.669105918717237,2022-11-29 19:15:06.871499,2022-11-29 19:15:21.659982,0 days 00:00:14.788483,,32.0,0.6,360,COMPLETE
119,119,0.6606577682724326,2022-11-29 19:15:21.840634,2022-11-29 19:15:41.873835,0 days 00:00:20.033201,balanced,25.0,0.7,860,COMPLETE
120,120,0.6751086659019452,2022-11-29 19:15:42.052184,2022-11-29 19:16:11.228500,0 days 00:00:29.176316,,38.0,0.7,810,COMPLETE
121,121,0.5886894939437324,2022-11-29 19:16:11.385683,2022-11-29 19:16:18.196401,0 days 00:00:06.810718,balanced,13.0,sqrt,10,COMPLETE
122,122,0.5304424643759784,2022-11-29 19:16:18.387431,2022-11-29 19:16:25.555221,0 days 00:00:07.167790,"{0: 1, 1: 10}",30.0,log2,310,COMPLETE
123,123,0.602023024992121,2022-11-29 19:16:25.742680,2022-11-29 19:16:33.180348,0 days 00:00:07.437668,,4.0,log2,260,COMPLETE
124,124,0.7139668566883166,2022-11-29 19:16:33.354682,2022-11-29 19:16:54.389257,0 days 00:00:21.034575,"{0: 1, 1: 10}",30.0,0.9,660,COMPLETE
125,125,0.6018298729266164,2022-11-29 19:16:54.569533,2022-11-29 19:17:04.864871,0 days 00:00:10.295338,"{0: 1, 1: 100}",6.0,0.6,410,COMPLETE
