index,cid,PBS,smiles,CoPriNet,NBS,Experimental,RO5,RO3,1st closest,2d closest,3d closest
42760,PV-002981198548,0.88,CC(=O)N1CCN(C(=O)C2=CC=C(Cl)O2)C[C@@H]1C,4.44703054428101,0.9735099337748345,False,True,False,8BW3,8BW2,8BW4
42265,PV-002717760646,0.88,CC(C#N)C(=O)N1CCN(C(=O)C2=NSC=C2)C[C@H]1C,4.44705629348755,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42437,PV-002717760647,0.88,CC(C#N)C(=O)N1CCN(C(=O)C2=NSC=C2)CC1C,4.44705629348755,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
44518,PV-002717760645,0.88,CC(C#N)C(=O)N1CCN(C(=O)C2=NSC=C2)C[C@@H]1C,4.44705629348755,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
40398,Z3596587263,0.88,COC(=O)N1CCN(C(=O)C2=COC(C#N)=C2)C[C@@H]1C,4.44707345962524,0.9735099337748345,False,True,False,8BW3,8BW2,8BW4
9916,Z3599533188,0.92,CCC1=C(CNC(=O)N2CCN(C(C)=O)C[C@H]2C)SC=C1,4.44708919525147,0.980132450331126,False,True,False,8BW4,8BW3,8BW2
41151,PV-002742406973,0.88,CC(=O)N1CCN(C(=O)C2=CN=CC=C2O)C[C@H]1C,4.447105884552,0.9735099337748345,False,True,False,8BW3,8BW2,8BW4
44039,PV-002742406974,0.88,CC(=O)N1CCN(C(=O)C2=CN=CC=C2O)CC1C,4.447105884552,0.9735099337748345,False,True,False,8BW3,8BW2,8BW4
41746,PV-002742406975,0.88,CC(=O)N1CCN(C(=O)C2=CN=CC=C2O)C[C@@H]1C,4.44710683822632,0.9735099337748345,False,True,False,8BW3,8BW2,8BW4
44506,PV-002959856223,0.88,COCC(=O)N1CCN(C(=O)C2=CC=CN2C)C[C@H]1C,4.44723224639893,0.980132450331126,False,True,False,8BW4,8BW3,8BW2
43342,PV-002959856224,0.88,COCC(=O)N1CCN(C(=O)C2=CC=CN2C)C[C@@H]1C,4.44723272323608,0.980132450331126,False,True,False,8BW4,8BW3,8BW2
44514,PV-002959856225,0.88,COCC(=O)N1CCN(C(=O)C2=CC=CN2C)CC1C,4.44723272323608,0.980132450331126,False,True,False,8BW4,8BW3,8BW2
6834,Z4101228390,0.92,COC(=O)N1CCN(C(=O)C2=CC=NC=C2N)C[C@@H]1C,4.44738912582397,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
41493,Z3599526451,0.88,CC(=O)N1CCN(C(=O)NCC2=C(C)N=CS2)[C@H](C)C1,4.44747972488403,0.980132450331126,False,True,False,8BW4,8BW3,8BW2
39699,PV-003444639348,0.88,CO[C@H](C)C(=O)N1CCN(C(=O)C2=CC=NN=C2C)CC1C,4.44767904281616,0.9668874172185431,False,True,False,8BW3,8BW2,8BW4
10111,Z3596598419,0.92,C#CC1=CC=C(C(=O)N2CCN(C(=O)OC)[C@@H](C)C2)C=N1,4.44768571853638,0.9668874172185431,False,True,False,8BW3,8BW2,8BW4
6692,PV-003829872809,0.92,CC(=O)N1CCN(C(=O)C2=CC=CC(O)=C2C)CC1C,4.4476957321167,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
6564,PV-003013369910,0.92,CC(=O)N1CCN(C(=O)C2=CC=CC(O)=C2C)C[C@H]1C,4.44769620895386,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
6701,PV-003013369909,0.92,CC(=O)N1CCN(C(=O)C2=CC=CC(O)=C2C)C[C@@H]1C,4.44769620895386,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
44548,PV-002821947870,0.88,COCC(=O)N1CCN(C(=O)C2=CSC=C2)C[C@H]1C,4.44791126251221,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
39406,PV-002821947871,0.88,COCC(=O)N1CCN(C(=O)C2=CSC=C2)CC1C,4.44791173934937,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
